代碼,商品,股本,產業,產業地位
1788,杏昌,3.85,上櫃生技醫療,代理歐美日一線廠牌醫療器材為主
1789,神隆,79.07,"上市化學生技醫療,上市生技醫療",全球最大原料藥代工廠，台灣原料藥龍頭
1795,美時,26.29,"上市化學生技醫療,上市生技醫療",台灣老牌學名藥廠，國際醫藥集團Alvogen持股近7成
1796,金穎生技,4.04,上櫃食品,為醱酵原料及保健品廠商
1799,易威,13.94,上櫃生技醫療,轉型新劑型藥物及原料藥研發廠
1802,台玻,290.81,上市玻璃陶瓷,兩岸前三大玻璃生產商
1805,寶徠,10.03,上市建材營造,知名建案「寶徠花園廣場」建商
1806,冠軍,43.38,上市玻璃陶瓷,台灣最大磁磚廠商
1808,潤隆,37.00,上市建材營造,興富發集團旗下建商
1809,中釉,16.70,上市玻璃陶瓷,亞洲最大釉料廠
1810,和成,36.99,上市玻璃陶瓷,台灣衛浴設備龍頭廠
1813,寶利徠,4.66,上櫃生技醫療,全球第三大PC(聚碳酸酯樹脂)光學鏡片商
1815,富喬,41.80,"上櫃電子全部,上櫃電子零組件",台灣玻纖紗、玻纖布一貫廠
1817,凱撒衛,7.26,上市玻璃陶瓷,在越南生產回銷台灣之國內第3大衛浴設備大廠
1903,士紙,26.00,上市造紙,轉型為濕紙巾製造商
1904,正隆,110.83,上市造紙,台灣最大工業用紙生產商
1905,華紙,110.28,上市造紙,紙漿及文化用紙一貫廠，亦為永豐餘子公司
1906,寶隆,15.10,上市造紙,轉型為工業用紙代銷商
1907,永豐餘,166.04,上市造紙,台灣第一大造紙集團
1909,榮成,127.77,上市造紙,國內前三大工業用紙生產商
2002,中鋼,1573.49,上市鋼鐵,台灣最大設有高爐的一貫作業鋼廠
2006,東和鋼鐵,108.99,上市鋼鐵,台灣最大型鋼廠及三大鋼筋廠之一
2007,燁興,53.07,上市鋼鐵,台灣不鏽鋼線材盤元大廠之一
2008,高興昌,20.09,上市鋼鐵,鋼管產品主要應用輸油氣領域
2009,第一銅,35.96,上市鋼鐵,台灣銅產品線最完整的企業
2010,春源,64.77,上市鋼鐵,台灣最具規模鋼鐵裁剪及通路業者
2012,春雨,28.78,上市鋼鐵,主要外銷歐美及東南亞的線材螺絲廠
2013,中鋼構,20.00,上市鋼鐵,中鋼集團旗下，台灣最大鋼結構廠
2014,中鴻,143.55,上市鋼鐵,中鋼集團旗下，熱軋產品大廠
2015,豐興,58.16,上市鋼鐵,台灣三大鋼筋廠之一，位於台中
2017,官田鋼,34.19,上市鋼鐵,台灣盤元及鐵絲大廠
2020,美亞,22.25,上市鋼鐵,台灣第一家鋼管專業製造廠
2022,聚亨,47.98,上市鋼鐵,以泰國為生產基地的線材盤元大廠
2023,燁輝,189.06,上市鋼鐵,台灣第一大鍍鋅烤漆廠
2024,志聯,9.75,上市鋼鐵,主要從事鋼棒及鋼線生產之廠商
2025,千興,28.12,上市鋼鐵,台灣不鏽鋼板冷軋廠
2027,大成鋼,165.85,上市鋼鐵,全美最大不銹鋼管通路商
