"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"2474","可成","-88,853","瑞士信貸: 23496 										 										港商麥格理: 2414 										 										凱基-松山: 710 										 										日盛-景美: 4969","美商高盛: -12667 										 										台灣匯立證券: -106281 										 										新光-新竹: -1494","-4","1","1"
"5483","中美晶","-88,643","兆豐-中壢: 11566 										 										玉山-城中: 8712 										 										統一-敦南: 11637 										 										永豐金-中正: 1066 										 										永豐金-板橋: 1096 										 										(牛牛牛)亞-網路: 620 										 										(牛牛牛)亞-鑫豐: 1998 										 										台新-高雄: 1262 										 										中國信託-嘉義: 988 										 										新光-新竹: 3356 										 										元大-竹科: 3328","瑞士信貸: -34379 										 										國票-長城: -7643 										 										凱基-松山: -1666 										 										新加坡商瑞銀: -86638 										 										兆豐-忠孝: -3946","-1","8","-1"
"6741","91APP*-KY","-81,003","永豐金-板橋: 2050 										 										兆豐-忠孝: 1633","統一-敦南: -819 										 										凱基-松山: -80954 										 										中國信託-嘉義: -2065 										 										凱基-大安: -848","-2","1","2"
"3264","欣銓","-80,832","統一-台中: 1041 										 										永豐金-板橋: 1899 										 										日盛-景美: 2988 										 										玉山-雙和: 720","國票-長城: -4632 										 										摩根大通: -44922 										 										新加坡商瑞銀: -34660 										 										兆豐-忠孝: -853 										 										新光-新竹: -2413","-3","0","1"
"2395","研華","-75,820","","摩根大通: -44912 										 										台灣匯立證券: -30908","-19","-3","1"
"1216","統一","-74,915","港商麥格理: 16086 										 										新加坡商瑞銀: 20834 										 										台灣匯立證券: 9491","玉山-城中: -1770 										 										瑞士信貸: -14242 										 										摩根大通: -105314","-2","1","1"
"4966","譜瑞-KY","-69,701","摩根大通: 39295","瑞士信貸: -53015 										 										中國信託-忠孝: -55981","-2","9","1"
"0050","元大台灣50","-69,422","中國信託-忠孝: 1099","兆豐-中壢: -172 										 										玉山-城中: -2074 										 										港商麥格理: -51765 										 										富邦-板橋: -1572 										 										(牛牛牛)亞-網路: -2964 										 										(牛牛牛)亞-鑫豐: -7857 										 										兆豐-忠孝: -1378 										 										元大-竹科: -1253 										 										玉山-雙和: -730 										 										凱基-大安: -756","1","0","1"
"6411","晶焱","-67,875","兆豐-忠孝: 1499 										 										新光-新竹: 7114 										 										玉山-雙和: 951","玉山-城中: -2049 										 										美商高盛: -12665 										 										摩根大通: -62725","-1","0","-1"
"2324","仁寶","-65,731","兆豐-中壢: 315 										 										港商麥格理: 11970 										 										台灣匯立證券: 69","美商高盛: -57510 										 										瑞士信貸: -19442 										 										兆豐-忠孝: -1133","1","1","7"
"9910","豐泰","-65,528","港商麥格理: 4266","新加坡商瑞銀: -69794","2","10","1"
"8086","宏捷科","-64,982","兆豐-中壢: 478 										 										統一-敦南: 2341 										 										中國信託-忠孝: 1877 										 										永豐金-板橋: 3154 										 										富邦-板橋: 1414 										 										凱基-松山: 1650 										 										凱基-大安: 313","康和-澎湖: -1370 										 										美商高盛: -25975 										 										統一-台中: -3524 										 										新加坡商瑞銀: -40596 										 										富邦-台北: -3042 										 										中國信託-嘉義: -850 										 										玉山-雙和: -852","-1","2","3"
"3317","尼克森","-63,857","(牛牛牛)亞-網路: 593","統一-台中: -2160 										 										摩根大通: -58876 										 										新光-新竹: -3414","-1","0","3"
"6116","彩晶","-61,728","兆豐-中壢: 440 										 										康和-澎湖: 1910 										 										統一-台中: 1200 										 										瑞士信貸: 39881 										 										中國信託-忠孝: 2840 										 										國票-長城: 27834 										 										永豐金-板橋: 1997 										 										凱基-松山: 4407 										 										(牛牛牛)亞-網路: 1043 										 										(牛牛牛)亞-鑫豐: 3273 										 										富邦-台北: 3512 										 										中國信託-嘉義: 462 										 										兆豐-忠孝: 20585 										 										日盛-景美: 1804 										 										元大-竹科: 1214 										 										玉山-雙和: 1266 										 										凱基-大安: 1437","玉山-城中: -1886 										 										美商高盛: -42679 										 										港商麥格理: -43445 										 										永豐金-中正: -1141 										 										富邦-板橋: -3358 										 										摩根大通: -52809 										 										新加坡商瑞銀: -31515","-1","1","-5"
"3006","晶豪科","-60,146","康和-澎湖: 538 										 										玉山-城中: 667 										 										中國信託-忠孝: 5349 										 										富邦-板橋: 1766 										 										(牛牛牛)亞-網路: 1568 										 										台新-高雄: 1428 										 										兆豐-忠孝: 2632 										 										新光-新竹: 1195 										 										玉山-雙和: 906 										 										凱基-大安: 527","美商高盛: -20348 										 										統一-台中: -3671 										 										統一-敦南: -8447 										 										摩根大通: -28147 										 										新加坡商瑞銀: -14183 										 										中國信託-嘉義: -671 										 										日盛-景美: -1255","-1","-4","1"
"2891","中信金","-59,933","港商麥格理: 18474","美商高盛: -27573 										 										瑞士信貸: -22738 										 										中國信託-忠孝: -990 										 										摩根大通: -27106","1","1","1"
"2345","智邦","-59,888","永豐金-中正: 4972 										 										新加坡商瑞銀: 28870 										 										富邦-台北: 29427","港商麥格理: -4459 										 										國票-長城: -23357 										 										摩根大通: -91589 										 										台灣匯立證券: -3458 										 										凱基-大安: -294","1","-1","-1"
"2356","英業達","-56,262","港商麥格理: 7040","美商高盛: -18787 										 										瑞士信貸: -13521 										 										新加坡商瑞銀: -30994","-7","-4","7"
"1455","集盛","-55,232","兆豐-忠孝: 1917 										 										玉山-雙和: 1159 										 										凱基-大安: 286","兆豐-中壢: -235 										 										統一-台中: -57551 										 										(牛牛牛)亞-網路: -808","6","0","0"
"2892","第一金","-51,949","新光-新竹: 2033","摩根大通: -28312 										 										新加坡商瑞銀: -21017 										 										日盛-景美: -4653","1","1","1"
"1504","東元","-51,723","國票-長城: 983","台灣匯立證券: -52706","-4","0","-1"
"3665","貿聯-KY","-50,402","","美商高盛: -29904 										 										台灣匯立證券: -19060 										 										玉山-雙和: -1438","2","0","2"
"00637","L元大滬深300正2","-48,663","中國信託-嘉義: 1542","統一-台中: -8057 										 										統一-敦南: -1690 										 										中國信託-忠孝: -1969 										 										永豐金-中正: -2700 										 										富邦-板橋: -1395 										 										凱基-松山: -929 										 										(牛牛牛)亞-網路: -1046 										 										(牛牛牛)亞-鑫豐: -15330 										 										台新-高雄: -2064 										 										兆豐-忠孝: -9314 										 										日盛-景美: -2977 										 										元大-竹科: -1472 										 										玉山-雙和: -1262","None","None","None"
"3081","聯亞","-46,988","兆豐-中壢: 272 										 										統一-台中: 1330 										 										凱基-松山: 1938","康和-澎湖: -29482 										 										富邦-板橋: -11266 										 										富邦-台北: -2955 										 										台灣匯立證券: -270 										 										兆豐-忠孝: -5470 										 										日盛-景美: -1085","-1","0","4"
"2351","順德","-46,350","永豐金-中正: 3429 										 										富邦-台北: 8812","瑞士信貸: -17880 										 										摩根大通: -22688 										 										新加坡商瑞銀: -18023","-4","1","-2"
"1303","南亞","-45,149","港商麥格理: 16725 										 										國票-長城: 4817","美商高盛: -36763 										 										瑞士信貸: -19954 										 										永豐金-中正: -5035 										 										富邦-台北: -3826 										 										兆豐-忠孝: -1113","3","1","1"
"8103","瀚荃","-44,461","統一-敦南: 1000 										 										永豐金-板橋: 763","美商高盛: -14198 										 										摩根大通: -32026","-2","0","0"
"6485","點序","-44,084","統一-敦南: 1887 										 										台新-高雄: 2836 										 										新光-新竹: 1409 										 										日盛-景美: 2564","兆豐-中壢: -277 										 										統一-台中: -2513 										 										永豐金-中正: -31176 										 										富邦-板橋: -1273 										 										凱基-松山: -973 										 										元大-竹科: -16568","-1","0","-1"
"6284","佳邦","-42,783","永豐金-中正: 1419","美商高盛: -11425 										 										新加坡商瑞銀: -32777","-1","0","-1"
